Date / Time,City,State,Shape,Duration,Summary,Posted
12/12/2020 23:37,Hanover,MA,,,MADAR Node 77,1/19/21
12/12/2020 21:01,Star Valley,AZ,,,MADAR Node 53,1/19/21
12/12/2020 21:00,New York,NY,Light,5 minutes,BALLS OF LIGHT MOVING IN FIGURE 8,12/23/20
12/12/2020 21:00,West Hempstead,NY,Other,3 minutes,"We looked up in the sky and there was a square object flying above us, very slow and made no sound. Each point had a light and it was t",12/23/20
12/12/2020 16:50,Tucson,AZ,Light,5 min,"Seen at first as a stationary single point of bright red light, against blue sky, then as changing colors of red, white and black",12/23/20
12/12/2020 14:10,Allen,TX,Oval,5 minutes,"Amorphous and slighly oval shaped, black object seen in broad daylight...",12/23/20
12/12/2020 10:41,Ajax (Canada),ON,,,MADAR Node 41,1/19/21
12/12/2020 7:36,Flowery Branch,GA,Fireball,2 to 3 mins,I woke up this morning and approximately 07:34 I opened my balcony door off my bedroom (2nd floor) and seen a bright light. At first I,12/23/20
12/12/2020 3:00,rt66,VA,Disk,about 1 minute,Cannot come up with another excuse for what I saw.,3/02/2021
12/12/2020 1:35,Moonachie/Little Ferry,NJ,Disk,4 minutes,UFO with Bright White Lights at around 1:30am,12/23/20
12/12/2020 1:00,Bayville,NJ,Fireball,10 minutes,I was standing outside on the front porch and I saw 2 fireball like objects floating through the sky flying at a fast speed. Faster tha,12/23/20
12/11/2020 19:30,Tampa,FL,Unknown,10 seconds,"Nearly Invisible and silent UFO outline hovering slowly, Arch shaped.",12/23/20
12/11/2020 18:09,Burlington,VT,Egg,2min,"Bright light shot up into the sky, very fast and then came to a complete stop and lingered.",12/23/20
12/11/2020 18:00,Louisville,KY,Disk,3 minutes,"Saucer seen by two individuals over Louisville, KY.",12/23/20
12/11/2020 17:03,Lords Valley,PA,,,MADAR Node 44,1/19/21
12/11/2020 16:20,Ridgecrest,CA,Other,0:15,Multiple similar sized objects not flying as expected with bright lights underneath.,12/23/20
12/11/2020 13:34,Port Angeles,WA,,,MADAR Node 49,1/19/21
12/11/2020 11:30,Summerville,VA,Diamond,5 minutes,"((HOAX??)) A bright light appeared , three colored lights in back. It zigzagged , dropped to the ground behind hill.",3/02/2021
12/11/2020 9:17,Aston,PA,Triangle,15 min,Very large translucent triangle,12/23/20
12/11/2020 7:00,Rancho mirage,CA,Sphere,3 hours,Noticed a sphere staying still in the sky. Clouds moving above it. Not moving for hours. Seemed like it soaking up the morning sun. As,12/23/20
12/11/2020 4:00,Oaktown,IN,Diamond,Ongoing 24/7,"I have reported this once already,it is ongoing.The lights around my home & the Sawmill in Oaktown laminate,drone-like.I can see people",12/23/20
12/11/2020 0:03,Stonington,CT,Cone,Continuing,"Long. Without my glasses, it looked like a cluster of stars.",12/23/20
12/10/2020 20:06,Chicago,IL,Light,Two seconds,Ufo travelled at high speed and disappeared in a portal?,12/23/20
12/10/2020 20:05,Melbourne,FL,Triangle,&lt;1 minute,"Triangular objects over Melbourne, FL",12/23/20
